,dataset,title,abstract,venue,authors,year,n_citations
0,cslg,2.511312425701846,6.143623489942251,0.15402258787920628,0.07729580599574824,1.2066404769207424,0.14892077852666183
1,cscv,0.18831890052288996,2.1631658539785876,2.776230710964868,0.08074334214282686,1.0998700279405484,0.1663311969603192
2,csai,1.8188350813104546,4.496852449122148,0.07484596851312762,0.07912340402264724,1.0824785305492814,0.15646266194446515
3,csit,0.5669117703757616,3.1609557324576723,3.9587128594748062,0.09692730081114358,0.6559738561401487,0.18966321883981066
4,cscl,1.1843042305744385,5.796074189657103,0.11208592095299151,0.08848182337888161,1.114594264368108,0.18395669815904261
5,cscr,1.303017460653677,6.293317056055775,0.8649290535414863,0.09647169519121582,0.9294827572939074,0.15933956835924135
6,csds,1.631769811466016,6.808143302633599,0.29498299575241577,0.09565109549862376,0.7263885244556146,0.1733548923126094
7,cssy,2.8364282155625467,6.037388142435259,2.0785572900596607,0.08921630865120819,1.0492392501832164,0.11499956621809591
8,csni,2.6288984565525433,5.567020675793465,0.5189055874157446,0.08455670410446141,0.7387596055749736,0.16437388405546424
9,csro,0.31176240896591345,1.835492007664839,4.295107315812105,0.10123665309936515,1.1635586199739318,0.13686082131175464
10,csdc,1.361107459091919,5.256907677271431,0.4098547733457223,0.08765286808946843,0.8596269143164309,0.14242295032922347
11,cssi,3.313341643289431,7.079906609177507,0.4105025980689709,0.08298475032394433,0.8193398554383124,0.1824107134028007
12,cslo,1.842274149160664,5.68795087329046,0.8371438143496945,0.0929170813552522,0.6449502801953463,0.1371406832294686
13,csna,1.0482811364800482,6.271969602346047,0.3006908429060337,0.08466933274385455,1.2813470453969031,0.08174661074062689
14,cscy,0.3795115026660955,3.533063255418562,0.16364624270603345,0.10688590791743345,0.9574790273017494,0.13635124322604994
15,csdm,0.5771660853904261,5.2053314285728485,0.6532237052859398,0.08181607618950479,0.6893200681191958,0.12450294402550809
16,csir,1.1154540701191036,5.152785211822689,0.1263365369857794,0.08289819918046296,0.9301672502478404,0.15743342296762328
17,csne,3.5670430855042086,6.763931107236359,0.49883953028158157,0.07570331928448625,0.8834271815534399,0.19069601547783863
18,csse,1.7557855305317251,5.404160990721848,2.0038954098904984,0.08737749747743737,0.8410845909492559,0.11315297034084036
19,cscc,1.891703190225244,5.146501880161057,0.42914944542073635,0.07803745358296216,0.6652356772031068,0.1613272591622479
20,cshc,0.9064386331156061,3.7430068553291367,0.12321854715845777,0.09433424358813006,1.0454598057302147,0.11204239160182497
21,csgt,0.9431991155884234,4.922240759572175,0.175737894010838,0.08944035205442123,0.8048764782486191,0.16155952464314538
22,cssd,0.7994966902726025,2.299354761389584,0.0029249550615542013,0.09800853396405322,1.222679736140991,0.13054066982939752
23,csdb,1.8699528360744944,7.0517275733341815,0.43240008579785144,0.09719532862204835,0.7601555778734864,0.16345550128959474
24,cscg,0.529917622360021,1.9705114542507929,0.018010796533320602,0.10074541962062053,0.7149718182992412,0.13582782706645735
25,cspl,1.0124306731386759,5.479901619921529,0.37926113078958945,0.08101824134254001,0.7397741435070849,0.12741349774115582
26,csma,0.9349005832094557,2.683635846982396,0.4627206045293848,0.08318389514740446,0.9961425368759355,0.13730621955511108
27,csce,0.30746940219508384,2.491917002918994,0.5891809751892616,0.09464130565688661,0.8113520533626517,0.1435378643253874
28,csfl,1.986576925708384,4.0796190722116465,0.2220424242089038,0.07808856910443134,0.7254422176984714,0.09345068979829337
29,csdl,0.5170654699772795,4.482225684477702,0.07335732936912671,0.10199169299590652,0.6673147849208966,0.2055264338464468
30,csmm,0.5457235555022247,1.6990517690510387,2.4595507498889684,0.10097660284000942,0.9090962500745654,0.16141948159137334
31,csgr,0.20864744410878602,1.867552674605621,1.380449473603822,0.1012120372876332,1.050992039129914,0.15198500036183993
32,cspf,2.744307690155738,9.092509201280217,0.4375496007600703,0.0918453227237764,0.7734571275396921,0.1453781402985091
33,csar,1.3112320549958818,6.7814609425363335,0.04694899857477534,0.09289938905414573,0.9614870182931293,0.11722184350268097
34,cset,0.27184708859050283,2.6309858989876496,0.18084708793434945,0.09386115060689315,0.9525137455410838,0.1614063255409169
35,csoh,0.25615760147114075,1.3805273748659064,0.2050639312899473,0.10056399386132589,0.4326130484794572,0.12347367897174312
36,csms,0.5061811906127903,2.9350387706246104,0.08296135575057575,0.08557028901443794,0.7606937424750854,0.1728410781866952
37,cssc,0.8847119647017195,2.719392018920456,0.11748861459813174,0.0815537142680028,0.7016395802148452,0.13336012726957092
38,csos,1.7154748830839046,6.26646702467973,0.2971829963666587,0.08658644189726933,0.7041889972041998,0.13127974684373636
39,csgl,0.1228153999288156,1.1611178022671105,0.0,0.09301176137260973,0.6252551308858081,0.14290373558114214
